ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA,CAMPIONCINO
6991,Siegrist,Benjamin Siegrist,P,1,Genoa,Svizzera,https://content.fantacalcio.it/web/campioncini/20/card/6991.png?v=341
219,Sommariva,Daniele Sommariva,P,1,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/219.png?v=341
6660,Marcandalli,Alessandro Marcandalli,D,4,Genoa,Italia;Nigeria,https://content.fantacalcio.it/web/campioncini/20/card/6660.png?v=341
6977,Otoa,Sebastian Otoa,D,2,Genoa,Danimarca,https://content.fantacalcio.it/web/campioncini/20/card/6977.png?v=341
5739,De Winter,Koni De Winter,D,8,Milan,Belgio,https://content.fantacalcio.it/web/campioncini/20/card/5739.png?v=341
6245,Vogliacco,Alessandro Vogliacco,D,3,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6245.png?v=341
5514,Vasquez,Johan Vasquez,D,9,Genoa,Messico,https://content.fantacalcio.it/web/campioncini/20/card/5514.png?v=341
6814,Norton-Cuffy,Brooke Norton-Cuffy,D,3,Genoa,Inghilterra;Dominica,https://content.fantacalcio.it/web/campioncini/20/card/6814.png?v=341
2593,Martin,Aaron Martin,D,10,Genoa,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/2593.png?v=341
791,Sabelli,Stefano Sabelli,D,5,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/791.png?v=341
5791,Frendrup,Morten Frendrup,C,9,Genoa,Danimarca,https://content.fantacalcio.it/web/campioncini/20/card/5791.png?v=341
6917,Masini,Patrizio Masini,C,5,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6917.png?v=341
6020,Ellertsson,Mikael Egill Ellertsson,C,5,Genoa,Islanda,https://content.fantacalcio.it/web/campioncini/20/card/6020.png?v=341
4970,Messias,Junior Messias,C,8,Genoa,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/4970.png?v=341
4427,Malinovskyi,Ruslan Malinovskyi,C,8,Genoa,Ucraina,https://content.fantacalcio.it/web/campioncini/20/card/4427.png?v=341
7135,Stanciu,Nicolae Stanciu,C,8,Genoa,Romania,https://content.fantacalcio.it/web/campioncini/20/card/7135.png?v=341
4404,Thorsby,Morten Thorsby,C,5,Genoa,Norvegia,https://content.fantacalcio.it/web/campioncini/20/card/4404.png?v=341
6980,Venturino,Lorenzo Venturino,C,3,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6980.png?v=341
