ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA
5527,Zanoli,Alessandro Zanoli,D,3,Napoli,Italia
5840,Olivera,Mathias Olivera,D,10,Napoli,Uruguay;Spagna
1852,Spinazzola,Leonardo Spinazzola,D,7,Napoli,Italia
5481,Mazzocchi,Pasquale Mazzocchi,D,3,Napoli,Italia
5998,Zerbin,Alessio Zerbin,C,4,Cremonese,Italia
5131,Gilmour,Billy Gilmour,C,7,Napoli,Scozia
4287,Lobotka,Stanislav Lobotka,C,9,Napoli,Slovacchia
4220,Zambo Anguissa,Andrè Zambo Anguissa,C,15,Napoli,Camerun
4777,McTominay,Scott McTominay,C,27,Napoli,Scozia;Inghilterra
536,Politano,Matteo Politano,C,16,Napoli,Italia
2517,De Bruyne,Kevin De Bruyne,C,24,Napoli,Belgio
6831,Neres,David Neres,C,13,Napoli,Brasile
7120,Lang,Noa Lang,A,19,Napoli,Olanda;Suriname
4371,Raspadori,Giacomo Raspadori,A,13,Napoli,Italia
6215,Lucca,Lorenzo Lucca,A,14,Napoli,Italia
2531,Lukaku,Romelu Lukaku,A,30,Napoli,Belgio;Repubblica Democratica del Congo
2061,Simeone,Giovanni Simeone,A,8,Torino,Argentina;Spagna
6662,Corvi,Edoardo Corvi,P,1,Parma,Italia
5338,Rinaldi,Filippo Rinaldi,P,1,Parma,Italia
6641,Suzuki,Zion Suzuki,P,7,Parma,Giappone
5353,Balogh,Botond Balogh,D,3,Parma,Ungheria
6663,Circati,Alessandro Circati,D,5,Parma,Australia;Italia
6887,Leoni,Giovanni Leoni,D,7,Parma,Italia
5307,Valenti,Lautaro Valenti,D,4,Parma,Argentina
6664,Delprato,Enrico Delprato,D,8,Parma,Italia
6821,Hainaut,Antoine Hainaut,D,2,Parma,Francia
6965,Lovik,Mathias Fjortoft Lovik,D,3,Parma,Norvegia
5862,Valeri,Emanuele Valeri,D,10,Parma,Italia
5290,Estevez,Nahuel Estevez,C,2,Parma,Argentina
6898,Keita M.,Mandela Keita,C,6,Parma,Belgio;Guinea
7138,Ordonez C.,Christian Ordonez,C,5,Parma,Argentina
6666,Bernabè,Adrian Bernabè,C,11,Parma,Spagna
4423,Hernani,Hernani,C,7,Parma,Brasile
5319,Sohm,Simon Sohm,C,12,Fiorentina,Svizzera;Nigeria
5393,Man,Dennis Man,C,11,Parma,Romania
6984,Ondrejka,Jacob Ondrejka,C,13,Parma,Svezia
6207,Almqvist,Pontus Almqvist,A,4,Parma,Svezia
6667,Benedyczak,Adrian Benedyczak,A,1,Parma,Polonia
5471,Djuric,Milan Djuric,A,9,Parma,Bosnia Erzegovina;Italia
7023,Pellegrino M.,Mateo Pellegrino,A,13,Parma,Argentina;Spagna
2271,Nicolas,Nicolas David Andrade,P,1,Pisa,Brasile;Italia
574,Scuffet,Simone Scuffet,P,3,Pisa,Italia
2861,Semper,Adrian Semper,P,4,Pisa,Croazia
7139,Canestrelli,Simone Canestrelli,D,4,Pisa,Italia
2273,Caracciolo A.,Antonio Caracciolo,D,5,Pisa,Italia
7140,Coppola F.,Francesco Coppola,D,1,Pisa,Italia;Cuba
6411,Mateus Lusuardi,Mateus Lusuardi,D,4,Pisa,Brasile
7170,Mbambi,Jeremy Kandje Mbambi,D,1,Pisa,Belgio
7141,Rus,Adrian Rus,D,2,Pisa,Romania;Ungheria
2745,Calabresi,Arturo Calabresi,D,4,Pisa,Italia
7142,Esteves T.,Tomas Esteves,D,1,Pisa,Portogallo
7143,Angori,Samuele Angori,D,6,Pisa,Italia
7145,Piccinini G.,Gabriele Piccinini,C,6,Pisa,Italia
7146,Tourè I.,Idrissa Tourè,C,7,Pisa,Germania;Guinea
7147,Hojholt,Malthe Hojholt,C,1,Pisa,Danimarca
7149,Marin M.,Marius Marin,C,6,Pisa,Romania
7150,Vural,Isak Vural,C,3,Pisa,Turchia;Svezia
6593,Akinsanmiro,Ebenezer Akinsanmiro,C,4,Pisa,Nigeria
2334,Leris,Mehdi Leris,C,2,Pisa,Francia;Algeria
7151,Arena,Alessandro Arena,C,1,Pisa,Italia
5318,Tramoni M.,Matteo Tramoni,C,12,Pisa,Francia
7171,Buffon L.,Louis Buffon,A,1,Pisa,Italia;Repubblica Ceca
5455,Moreo,Stefano Moreo,A,6,Pisa,Italia
